omm_id,nombre,elev,lat_dec,lon_dec,fecha_desde,fecha_hasta,valor
83236,BARREIRAS,447.51,-12.155843,-45.008269,2024-03-21,2024-04-20,96.5
83557,BOA ESPERANCA,128.95,-18.53722221,-40.27222221,2024-03-21,2024-04-20,
83288,BOM JESUS DA LAPA,447.75,-13.251097,-43.405365,2024-03-21,2024-04-20,
82975,BOM JESUS DO PIAUI,330.6,-9.06611111,-44.36527777,2024-03-21,2024-04-20,
82886,CABROBO,342.78,-8.50388888,-39.31527777,2024-03-21,2024-04-20,
83946,CAMBARA DO SUL,1015.97,-29.049139,-50.149631,2024-03-21,2024-04-20,
83698,CAMPOS,15.19,-21.74249999,-41.33277777,2024-03-21,2024-04-20,
83270,CANARANA,430.0,-13.47083332,-52.2711111,2024-03-21,2024-04-20,
83398,CANAVIEIRAS,4.71,-15.673259,-38.961051,2024-03-21,2024-04-20,
82976,CARACOL,515.3,-9.28583333,-43.32444443,2024-03-21,2024-04-20,
83592,CARATINGA,609.56,-19.735765,-42.137222,2024-03-21,2024-04-20,94.9
83485,CARBONITA,765.37,-17.533008,-43.012091,2024-03-21,2024-04-20,
83408,CARINHANHA,455.25,-14.29749999,-43.77138888,2024-03-21,2024-04-20,
83192,CIPO,143.53,-11.10138888,-38.52416666,2024-03-21,2024-04-20,26.7
82861,CONCEICAO DO ARAGUAIA,179.02,-8.25916666,-49.26388888,2024-03-21,2024-04-20,
83718,CORDEIRO,516.72,-22.02222221,-42.36444444,2024-03-21,2024-04-20,116.6
83286,CORRENTINA,551.69,-13.332407,-44.617374,2024-03-21,2024-04-20,57.0
83222,CRUZ DAS ALMAS,219.69,-12.67527777,-39.08972221,2024-03-21,2024-04-20,181.7
83536,CURVELO,668.26,-18.747435,-44.454654,2024-03-21,2024-04-20,
83635,DIVINOPOLIS,787.42,-20.173283,-44.874742,2024-03-21,2024-04-20,
83221,FEIRA DE SANTANA,229.52,-12.1961111,-38.96722221,2024-03-21,2024-04-20,
83334,FORMOSO,854.6,-14.949727,-46.235795,2024-03-21,2024-04-20,167.3
82893,GARANHUNS,827.78,-8.91083333,-36.49333333,2024-03-21,2024-04-20,
83446,GUARATINGA,197.88,-16.58081,-39.783182,2024-03-21,2024-04-20,230.79999999999998
83632,IBIRITE,822.08,-20.016563,-44.084716,2024-03-21,2024-04-20,
83114,IGUABA GRANDE,5.57,-22.84694444,-42.18555555,2024-03-21,2024-04-20,
83182,IRECE,747.22,-11.31138888,-41.85861111,2024-03-21,2024-04-20,
83195,ITABAIANINHA,205.59,-11.272334,-37.794973,2024-03-21,2024-04-20,
83695,ITAPERUNA,123.59,-21.20388888,-41.90555555,2024-03-21,2024-04-20,
83292,ITUACU,534.44,-13.812876,-41.299852,2024-03-21,2024-04-20,
83186,JACOBINA,486.37,-11.17277777,-40.53416666,2024-03-21,2024-04-20,
83386,JANUARIA,480.0,-15.448054,-44.366321,2024-03-21,2024-04-20,80.5
83452,JURAMENTO,655.59,-16.775057,-43.667085,2024-03-21,2024-04-20,
